Name,Wiki Name,Party,Wiki search,Wiki Output
Velu  Shri Rangasamy,Rangasamy Velu,Pattali Makkal Katchi,Rangasamy Velu Pattali Makkal Katchi,#N/A
Velusamy  Shri P.,P. Velusamy,Dravida Munnetra Kazhagam,P. Velusamy Dravida Munnetra Kazhagam,"Palanisamy Velusamy is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Dindigul, Tamil Nadu in the 2019 Indian general election as member of the Dravida Munnetra Kazhagam."
Venkaiah  Shri Kolla,Kolla Venkaiah,Communist Party,Kolla Venkaiah Communist Party,#N/A
Venkatapathy  Shri Kannusamy,Kannusamy Venkatapathy,Dravida Munnetra Kazhagam,Kannusamy Venkatapathy Dravida Munnetra Kazhagam,"Kannusamy Venkatapathy (born 15 June 1946) is a member of the 14th Lok Sabha of India. He represents the Cuddalore constituency of Tamil Nadu and is a member of the Dravida Munnetra Kazhagam (DMK) political party.He was Minister of State in the Ministry of Law and Justice from 2004.

"
Venkataraman  Shri R.,R. Venkataraman,Congress (I),R. Venkataraman Congress (I),"Ramaswamy Venkataraman (pronunciation , 4 December 1910 – 27 January 2009) was an Indian lawyer, Indian independence activist and politician who served as a Union Minister and as the eighth president of India.
Venkataraman was born in Rajamadam village in Tanjore district, Madras Presidency. He studied law and practised in the Madras High Court and the Supreme Court of India. In his young age, he was an activist of the Indian independence movement and participated in the Quit India Movement. He was appointed as the member of the Constituent Assembly and the provisional cabinet. He was elected to the Lok Sabha four times and served as Union Finance Minister and Defence Minister. In 1984, he was elected as the seventh vice president of India and in 1987, he became the eighth President of India and served from 1987 to 1992. He also served as a State minister under K. Kamaraj and M. Bhaktavatsalam.

"
Venkataratnam  Shri Nissankara Rao,Nissankara Rao Venkataratnam,Telugu Desam Party,Nissankara Rao Venkataratnam Telugu Desam Party,#N/A
Venkatasubbaiah  Shri Pendekanti,Pendekanti Venkatasubbaiah,Congress (I),Pendekanti Venkatasubbaiah Congress (I),"Pendekanti Venkatasubbaiah (1921-1993) was an Indian politician. He was  the Governor of Bihar from 15 March 1985 to 25 February 1988 and  the Governor of Karnataka, India from 26 February 1988 to 5 February 1990.He was elected to the Lok Sabha and was the Union Minister of State for Home and Parliamentary Affairs in both Indira Gandhi and Rajiv Gandhi cabinet."
Venkataswamy  Dr. Nandipaku,Dr. Nandipaku Venkataswamy,Bharatiya Janata Party,Dr. Nandipaku Venkataswamy Bharatiya Janata Party,Tirupati Lok Sabha constituency is one of the twenty-five Lok Sabha constituencies of Andhra Pradesh in India. It comprises seven assembly segments and belongs to Tirupati district.
Venkatesan  Shri P.R.S.,P.R.S. Venkatesan,Tamil Manila Congress (Moopanar),P.R.S. Venkatesan Tamil Manila Congress (Moopanar),P. R. S. Venkatesan is an Indian politician and former Member of Parliament elected from Tamil Nadu. He was elected to the Lok Sabha from Cuddalore constituency as an Indian National Congress candidate in the 1984 and 1989 elections and as a Tamil Maanila Congress (Moopanar) candidate in 1996 election.He also served as a Member of the Legislative Assembly of Tamil Nadu. He was elected to the Tamil Nadu legislative assembly as an Indian National Congress candidate from Cuddalore constituency in 1991 election.
Venkatesan  Shri S.,S. Venkatesan,Communist Party of India (Marxist),S. Venkatesan Communist Party of India (Marxist),"S. Venkatesan also known as Su. Venkatesan is a Tamil writer from Tamil Nadu, India and Tamil Nadu State Committee member of CPI(M). Venkatesan is a state committee member of the Party and a whole-timer of the Party. He is the state president of Tamil Nadu Progressive Writers and Artists Association. 

"
Venkatesh  Dr. V.,Dr. V. Venkatesh,Janata Party,Dr. V. Venkatesh Janata Party,"Thirupathi Narasimhalunaidu Venkatesh (born 23 March 1963), better known by his stage name Rockline Venkatesh, is an Indian actor and producer known for his works in Kannada, and Hindi cinemas. He is the founder and owner of the production and distribution company, Rockline Entertainments which has directed over five films as of 2012. In 2015 he co-produced Bajrangi Bhaijaan which earned the National Film Award for Best Popular Film Providing Wholesome Entertainment at the 63rd National Film Awards."
Venkatesh Babu  Shri T.G.,T.G. Venkatesh Babu,All India Anna Dravida Munnetra Kazhagam,T.G. Venkatesh Babu All India Anna Dravida Munnetra Kazhagam,T G Venkatesh Babu (b 1961) is an Indian politician and Member of Parliament elected from Tamil Nadu. He is elected to the Lok Sabha from Chennai North constituency as an Anna Dravida Munnetra Kazhagam candidate in 2014 election.
Venkateshwarlu  Shri Bodakunti,Bodakunti Venkateshwarlu,Telugu Desam Party,Bodakunti Venkateshwarlu Telugu Desam Party,Warangal Lok Sabha constituency is one of the 17 Lok Sabha (Lower House of the Parliament) constituencies in Telangana state in southern India. This constituency is reserved for the candidates belonging to the Scheduled castesPasunoori Dayakar of Telangana Rashtra Samithi is currently representing the constituency for the first time.
Venkateswara Rao  Shri Yemparala,Yemparala Venkateswara Rao,Telugu Desam Party,Yemparala Venkateswara Rao Telugu Desam Party,"Rayapati Sambasiva Rao is an Indian politician and a member of the 11th, 12th, 14th, 15th, and 16th Lok Sabha. He was one of the youngest members to be elected to the Rajya Sabha at the age of 39. He represented the Narasaraopet and Guntur parliamentary constituency of Andhra Pradesh and currently is a member of the Telugu Desam Party."
Venkateswarlu  Prof. Ummareddy,Prof. Ummareddy Venkateswarlu,Telugu Desam Party,Prof. Ummareddy Venkateswarlu Telugu Desam Party,"List of Members of the 10th Lok Sabha, (20 June 1991 – 10 May 1996) elected during 1991 Indian general election held during May–June 1991. The Lok Sabha (House of the People) is the lower house in the Parliament of India, four sitting members from Rajya Sabha, the Upper House of Indian Parliament, were elected to 10th Lok Sabha after the Indian general election, 1991.P V Narasimha Rao of Indian National Congress became the Prime Minister of India from 21 June 1991 till 16 May 1996, after INC won 244 seats, 47 more than previous 9th Lok Sabha.
The next 11th Lok Sabha was constituted on 15 May 1996, after 1996 Indian general election."
Venkatraman  Shri Tindivanam G.,Tindivanam G. Venkatraman,Dravida Munnetra Kazhagam,Tindivanam G. Venkatraman Dravida Munnetra Kazhagam,T. G. Venkatraman (2 February 1931 – 21 February 2013) was an Indian politician who was a member of the D.M.K. Party.
Venkatswamy  Shri G.,G. Venkatswamy,Indian National Congress,G. Venkatswamy Indian National Congress,G. Venkat Swamy (5 October 1929 – 22 December 2014) was an Indian politician who was a member of the 14th Lok Sabha.
Venugopal  Thiru Danapal,Thiru Danapal Venugopal,Dravida Munnetra Kazhagam,Thiru Danapal Venugopal Dravida Munnetra Kazhagam,#N/A
Venugopal  Shri K.,K. Venugopal,All India Anna Dravida Munnetra Kazhagam,K. Venugopal All India Anna Dravida Munnetra Kazhagam,"Kottayan Katankot Venugopal (born 6 September 1931) is an Indian constitutional lawyer and a senior advocate in the Supreme Court of India. On 1 July 2017, he was appointed as the Attorney General of India. He is Patron of SAARCLAW (A regional apex body of SAARC) and earlier has been its President. He is founder of M K Nambyar SAARCLAW Centre For Advanced Legal Studies at the NALSAR Law University."
Venugopal  Shri K. C.,K. C. Venugopal,Indian National Congress,K. C. Venugopal Indian National Congress,"K. C. Venugopal (born 4 February 1963) is an Indian politician who is a Member of Parliament, Rajya Sabha elected from Rajasthan and former member of parliament in Lower House and is a member of the Indian National Congress. He has been appointed as a General Secretary of AICC and in charge of Karnataka on 29 April 2017. Later, he was given additional charge of the general secretary of the organization. He was the Minister of State for Civil Aviation & Ministry of Power in the UPA Government."
Venugopal  Dr. Ponnusamy,Dr. Ponnusamy Venugopal,All India Anna Dravida Munnetra Kazhagam,Dr. Ponnusamy Venugopal All India Anna Dravida Munnetra Kazhagam,"Ponnusamy Venugopal was a member of the 15th Lok Sabha of India. He represented the Tiruvallur constituency of Tamil Nadu and is a member of the All India Anna Dravida Munnetra Kazhagam political party.Tiruvallur constituency is reserved under Scheduled Caste category.

"
Venugopal Chary  Dr. Samudrala,Dr. Samudrala Venugopal Chary,Telugu Desam Party,Dr. Samudrala Venugopal Chary Telugu Desam Party,"Samudrala Venugopal Chary  is an Indian politician and was Member of Parliament of India for three consecutive terms. He was a member of the 11th, 12th and the 13th Lok Sabhas. Chary was also a member of the Andhra Pradesh Legislative Assembly. Chary represented the Adilabad constituency of Andhra Pradesh and is a member of the Telangana Rashtra Samithi political party.

"
Venugopal Gounder  Shri C.,C. Venugopal Gounder,All India Anna Dravida Munnetra Kazhagam,C. Venugopal Gounder All India Anna Dravida Munnetra Kazhagam,This is a list of members of the 6th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 6th Lok Sabha (1977 to 1980) at the 1977 Indian general election.
Verma  Shri Anshul,Anshul Verma,Bharatiya Janata Party,Anshul Verma Bharatiya Janata Party,"Anshul Verma (born 18 July 1974) is an Indian politician, currently with from the Samajwadi Party  He had represented the Hardoi Lok Sabha constituency, from 2014 to 2019, for BJP but later quit from the party."
Verma  Shri Balgovind,Balgovind Verma,Congress,Balgovind Verma Congress,"Balgovind Verma (born at Village Chhetonia, Lakhimpur Kheri district, 20 August 1923 ) was a member of 3rd Lok Sabha from Kheri (Lok Sabha constituency) in Uttar Pradesh State, India.
He was elected to the 4th, 5th and 7th Lok Sabha from Kheri."
Verma  Shri Beni Prasad,Beni Prasad Verma,Indian National Congress,Beni Prasad Verma Indian National Congress,"Beni Prasad Verma (11 February 1941 – 27 March 2020) was an Indian politician and a member of the Samajwadi Party. Earlier he was with Samajwadi Party of Mulayam Singh Yadav, then he joined Indian National Congress and was elected on its ticket to Lok Sabha in 2009. In 2016 he rejoined Samajwadi Party."
Verma  Shri Bhanu Pratap Singh,Bhanu Pratap Singh Verma,Bharatiya Janata Party,Bhanu Pratap Singh Verma Bharatiya Janata Party,"Bhanu Pratap Singh Verma (born 15 July 1957) is an Indian politician and Minister of State in Ministry of Micro, Small and Medium Enterprises in Government Of India. He stood for the 1996 Lok Sabha elections as BJP candidate and is currently a Member of Parliament from Jalaun. He belong to the Kori community of Uttar Pradesh.He won 1996, 1998, 2004, 2014, 2019 general election from jalaun constituency.
Government of India"
Verma  Shri Bhawani Lal,Bhawani Lal Verma,Congress (I),Bhawani Lal Verma Congress (I),"Bhawani Lal Verma is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India as a member of the Indian National Congress.He died on 30th December 2000. On of his son Dr. Vinod Kumar Verma is distinguished personality for which contributions in literature, writings etc.
Dr. Vinod kumar Verma is a retired professor from Barrister Thakur Chhedilal Agriculture College and Research Centre, Bilaspur Chhattisgarh.His first story writing was ""Machhuware ki Ladki""( 2000). 
He had penned several other books along with Dr. Vinay kumar Pathak like ""Hindi ka sampurna vyakaran"" , ""Chhattisgarhi ka sampurna vyakaran""."
Verma  Shri Brijlal,Brijlal Verma,Janata Party,Brijlal Verma Janata Party,#N/A
Verma  Dr. C.S.,Dr. C.S. Verma,Congress (I),Dr. C.S. Verma Congress (I),"Shree Harish Chandra Verma (born 8 April 1952), popularly known as HC Verma, is an Indian experimental physicist, author and emeritus professor of the Indian Institute of Technology Kanpur (IIT Kanpur). In 2021, he was awarded the Padma Shri, the fourth highest civilian award, by the Government of India for his contribution to Physics. His field of research is nuclear physics.He has authored several school, undergraduate and graduate level textbooks, including but not limited to, the most popular and most reputated two-volume Concepts of Physics, extensively used by students appearing for various high level competitive examinations such as JEE Mains, JEE Advanced, etc.He has co-founded Shiksha Sopan, a social upliftment organization for economically weaker children living near the campus of IIT Kanpur. He has dedicated himself in training young minds in the field of Physics. He has immensely contributed in popularising Physics education among Indian students and teachers by conducting lectures and experimental demonstrations.
He has been awarded the Maulana Abul Kalam Azad Shiksha Puruskar by the Bihar state government."
Verma  Shri Chandradeo Prasad,Chandradeo Prasad Verma,Rashtriya Janata Dal,Chandradeo Prasad Verma Rashtriya Janata Dal,"Chandradeo Prasad Verma (21 January 1921) is a politician who was elected to the Lok Sabha's lower house of the Parliament of India from the Arrah, Bihar in 1977, 1980 and 1996. He was the Union Minister of State for Rural Areas and Employment. He was earlier Member of the Bihar Legislative Assembly and a Cabinet minister in Bihar."
Verma  Shri Deen Bandhu,Deen Bandhu Verma,Congress (I),Deen Bandhu Verma Congress (I),"Manikya Lal Verma Born on 4th December 1897  in a Mathur kayastha family was a member of Constituent Assembly of India in 1949. He was prime minister of Rajasthan, India before full formation of the state. He was elected to Lok Sabha in 1957 from Chittorgarh and in 1952 from Tonk. He was recipient of Padma Bhushan in 1965.He played pivotal role in Bijolia movement, a farmers agitation raised between 1919 and 1923 in Bhilwara. He remained in prison for several year's being a freedom fighter.  Verma was an untiring social activist. He played a vital role in promoting education among Tribes , other backward classes and women in southern Rajasthan.  He founded Vimukt Janjaati sangh to promote social conditions of notified casts . This organisation established several hostels for notified cast students in Rajasthan . In Western border district's Simant (सीमान्त) Chatrawas were established on his initiative.   
He died on 14 January 1969. His wife Smt. Narayni Devi was a member of Rajya Sabha and son Deen Bandhu Verma was a member of Loksabha from Udaipur constituency. His son in Law Shiv Charan Mathur was also Chief Minister of Rajasthan for two terms .   
The Manikya Lal Verma Textile and Engineering College was named after him. A huge garden at bank of Pichola lake , udaipur is also named behind him . 
other details as per loksabha.nic.in ... 
Social and Political worker; Secretary, Vidya Pracharini Sabha, Bijolia (1916); Organised Peasant Satyagraha against taxes and forced labour in 1918; Imprisoned in 1919, also 1923, thrice in 1927 and again in 1931; Interned at Kumbhalgarh in 1932-33 and expelled from Udaipur State in 1938 for establishing 'Praja Mandal' and conducting Satyagraha against the State and imprisoned again for one year, 1939; Participated in 'Quit India Movement'; Chairman of Reception Committee, All India States' People's Conference, 1945; Chief Minister of Rajasthan, 1948-49; President, Rajasthan State Congress Committee, 1951; Member, All India Congress Working Committee, 1952—54; President, Rajasthan Bhil Seva Mandal Vimukta Jati Sevak Sangh, 1954-55; Convener, All India Gadia Luhar Sammelan and Bharat Sevak Samaj, 1955-56; President, Gadiya Lohar Sewak Sangh, 1956—62, Rajasthan Adim Jati Sevak Sangh, 1957—62; Rajasthan Van Shramik Sahakari Sangh, 1959—62; Member, Constituent Assembly, 1947—50; Provisional Parliament, 1950—52; First Lok Sabha, 1952—57 and Second Lok Sabha, 1957—62. 
Social activities:  Organised Harijan Ashram at Nareli in Ajmer Merwara, 1934; Did constructive work among Bhils and Meenas of Rajasthan at Village Khadlai, Dungarpur State in August, 1934; Established Akal Pidit Seva Sangh, Mewar, 1940; Established Harijan Sevak Sangh and Bhil Seva Sangh in Udaipur; Established Mahila Ashram, Bhilwara, 1944; Established Rajasthan Kalbeliya Seva Sangh.
Special interests:  Improvement of agriculture on modern lines; Establishment of Socialistic Society on the cooperative principles; Established three Tribes colony in Udaipur and Kota District and settled Gadia Lohars in Jodhpur, Nagor, Bikaner, Ajmer, Pali District and Banjaras in Bhilwara District, Kalbeliyas in Udaipur District."
Verma  Shri Hargovind,Hargovind Verma,Janata Party,Hargovind Verma Janata Party,"Chhatrapati Shahu Ji Maharaj University (CSJMU), formerly Kanpur University, is a public state university located in Kanpur, Uttar Pradesh, India. It is administered under the state legislature of the government of Uttar Pradesh."
Verma  Shri Kunwar Krishna,Kunwar Krishna Verma,Congress,Kunwar Krishna Verma Congress,"RadhaKrishn is an Indian Hindi-language Hindu mythological  television drama series that was premiered on 1 October 2018 on Star Bharat and is also digitally available on Disney+ Hotstar. The series is based on the life of Hindu deities Radha and Krishna. It is produced by Siddharth Kumar Tewary, Rahul Kumar Tewary and Gayatri Gill Tewary for Swastik Productions and is directed by Rahul Kumar Tewary. The roles of Krishna and Radha are played by Sumedh Mudgalkar and Mallika Singh.
A prequel of RadhaKrishn, titled Jai Kanhaiya Lal Ki, started airing from 19 October 2021.

"
Verma  Shri Phool Chand,Phool Chand Verma,Bharatiya Janata Party,Phool Chand Verma Bharatiya Janata Party,"Phool Chand Verma  (born 12 June 1939, Indore) is an Indian politician, a former member of the Lok Sabha and a leader of Bharatiya Janata Party. He was first elected to the Lok Sabha from Ujjain constituency in Madhya Pradesh state in 1971 as a Bharatiya Jana Sangh candidate. He was elected to the 6th, 7th, 9th and 10th Lok Sabha (1977-1984, and 1989-1996) from Shajapur constituency (reserved for Scheduled Caste candidates) in Madhya Pradesh state."
Verma  Shri Prem Chand,Prem Chand Verma,Congress,Prem Chand Verma Congress,"Prem Chand Pandey is an Indian space scientist, planetary scientist, and academic in the fields of satellite oceanography, remote sensing, atmospheric science, the Antarctic and climate change, and also he is the founding director of the National Centre for Polar and Ocean Research (NCPOR)."
Verma  Purnima,Purnima Verma,Bharatiya Janata Party,Purnima Verma Bharatiya Janata Party,Purnima Verma (born 25 November 1960) is a political and social worker and a Member of Parliament elected from the Mohanlalganj constituency in the Indian  state of Uttar Pradesh being a Bharatiya Janta Party candidate.
Verma  Shri Raghunath Singh,Raghunath Singh Verma,Janata (S),Raghunath Singh Verma Janata (S),"Raghunath Singh Verma (7 September 1948 – 20 December 2009), was an influential Indian politician involved mainly in the state affairs of Uttar Pradesh, Rajasthan, Uttarakhand, Bihar and Madhya Pradesh. Born in Jasrana Town near Shikohabad), Mainpuri, Uttar Pradesh, he died in Jasrana in 2009."
Verma  Shri Rajesh,Rajesh Verma,Bharatiya Janata Party,Rajesh Verma Bharatiya Janata Party,#N/A
Verma  Shri Ram Murti Singh,Ram Murti Singh Verma,Samajwadi Party,Ram Murti Singh Verma Samajwadi Party,"Bhanu Pratap Singh Verma (born 15 July 1957) is an Indian politician and Minister of State in Ministry of Micro, Small and Medium Enterprises in Government Of India. He stood for the 1996 Lok Sabha elections as BJP candidate and is currently a Member of Parliament from Jalaun. He belong to the Kori community of Uttar Pradesh.He won 1996, 1998, 2004, 2014, 2019 general election from jalaun constituency.
Government of India"
Verma  Shri Ramji,Ramji Verma,Praja Socialist Party (PSP),Ramji Verma Praja Socialist Party (PSP),"Ramji Londonwaley (transl. Ramji, the man from London) is a 2005 Indian Hindi-language comedy-drama film directed by Sanjay Dayma and produced by Sunanda Murali Manohar. The film stars Madhavan and Samita Bangargi. Madhavan also worked as the dialogue writer for the film. The film had a theatrical release across India on 2 September 2005. Featuring a story written by Kamal Haasan, the film is a remake of Madhavan's Tamil film Nala Damayanthi (2003)."
Verma  Shri Rati Lal Prasad,Rati Lal Prasad Verma,Bharatiya Janata Party,Rati Lal Prasad Verma Bharatiya Janata Party,"R.L.P. Verma (1 February 1938 – 15 January 2004) was a former member of Lok Sabha and a leader of Bhartiya Janata Party. He was elected to Lok Sabha from Kodarma in Jharkhand state in India for five terms.
He was born to an agrarian family belonging to kushwaha(Koeri) caste.
He is known to be the first MLA of Bihar Legislative Assembly to resign on the call of JP Narayan during JP Movement. He also worked hard to establish a rail connection between Giridih and Koderma districts of Jharkhand.
He is also known to pave the way of BJP in Bihar and Jharkhand.
His son Pranav verma also fought Lok Sabha election but lost to Ravindra Rai in Modi wave. His brother Jagdish Prasad Kushwaha is known as Bhismpitamah of BJP in Bihar and Jharkhand. Recently the Giridih Municipal Corporation decided to honor him posthumously by naming the Junction of Jila parishad as Rati Lal Prasad Verma Chowk.
He was one of the two Member of Parliament of BJP during transformation of Jana Sangh into Bhartiya Janata Party."
Verma  Shri Ravi Prakash,Ravi Prakash Verma,Samajwadi Party,Ravi Prakash Verma Samajwadi Party,"Ravi Prakash (born August 26, 1960) is an Indian politician for the Kheri (Lok Sabha constituency) in Uttar Pradesh who since 2014 is a member of the Upper House (Rajya Sabha) of the Indian Parliament."
Verma  Rekha Arun,Rekha Arun Verma,Bharatiya Janata Party,Rekha Arun Verma Bharatiya Janata Party,"Rekha Verma is politician from Uttar Pradesh, India. She was elected to the Lok Sabha, the lower house of the Parliament of India from Dhaurahra Seat, Uttar Pradesh as a member of the Bharatiya Janata Party. She got 360357 votes and defeated Daud of Bahujan Samaj Party who got 234682 votes. She is a National Vice President of the BJP."
Verma  Prof.(Smt.) Rita,Prof.(Smt.) Rita Verma,Bharatiya Janata Party,Prof.(Smt.) Rita Verma Bharatiya Janata Party,This is a list of members of the 11th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 11th Lok Sabha (1996 to 1998) at the 1996 Indian general election.
Verma  Dr. Sahib Singh,Dr. Sahib Singh Verma,Bharatiya Janata Party,Dr. Sahib Singh Verma Bharatiya Janata Party,"Sahib Singh Verma (15 March 1943 – 30 June 2007) was an Indian politician and the former senior vice-president of the Bharatiya Janata Party. He served as Chief Minister of Delhi (1996–1998) and was member of 13th Lok Sabha, Parliament of India (1999–2004). He served as the Union Labour Minister of India."
Verma  Shri Sajjan Singh,Sajjan Singh Verma,Indian National Congress,Sajjan Singh Verma Indian National Congress,Sajjan Singh Verma is an Indian politician and a member of Indian National Congress currently serving as an MLA from Sonkatch in Madhya Pradesh. He was a member of the 15th Lok Sabha of India and represented the Dewas constituency of Madhya Pradesh. He is national president of Akhil Bhartiya Khatik Samaj. Verma resigned in March 2020 as PWD Minister when Congress Government led by Chief Minister Kamalnath was toppled by the BJP.
Verma  Shri Sheo Sharan,Sheo Sharan Verma,Janata Dal,Sheo Sharan Verma Janata Dal,"Sheo Sharan Verma was an Indian politician. He was elected to the Lok Sabha the lower house of Indian Parliament from Machhlishahr in Uttar Pradesh in 1980,1989 and 1991 as a member of the Janata Dal."
Verma  Shri Sukhdeo Prasad,Sukhdeo Prasad Verma,Janata Party,Sukhdeo Prasad Verma Janata Party,"Sukhdeo Prasad Verma is an Indian politician. He was elected to the lower House of the Indian Parliament the Lok Sabha from Nawada, Bihar and Chatra, Bihar."
Verma  Shri Suraj Lal,Suraj Lal Verma,Jan Sangh,Suraj Lal Verma Jan Sangh,Devi Lal twice became Chief Minister of Haryana. Second time he was chief minister from 17 July 1987 to December 1989. Here is the list of ministers in his second cabinet:
Verma  Shri Upendra Nath,Upendra Nath Verma,Janata Dal,Upendra Nath Verma Janata Dal,"Upendra Nath Verma  is an Indian politician. He was elected to the lower House of the Indian Parliament the Lok Sabha from  Chatra, Biharas a member of the Janata Dal. He was the Union Minister for State, Rural Development."
Verma  Usha,Usha Verma,Congress (I),Usha Verma Congress (I),"Usha Verma is an Indian politician. She was elected to the Lok Sabha, the lower house of the Parliament of India from Hardoi, Uttar Pradesh in 1998, 2004 and 2009 as a member of the Samajwadi Party as a SC candidate. She was elected to the Uttar Pradesh Legislative Assembly in 2002 and became a Minister in the Mulayam Singh Yadav ministry in 2003. She was the daughter in law of late member of parliament Parmai Lal, who is famous for winning his first election in 1962 while he was in prison.

"
Verma  Usha,Usha Verma,Samajwadi Party,Usha Verma Samajwadi Party,"Usha Verma is an Indian politician. She was elected to the Lok Sabha, the lower house of the Parliament of India from Hardoi, Uttar Pradesh in 1998, 2004 and 2009 as a member of the Samajwadi Party as a SC candidate. She was elected to the Uttar Pradesh Legislative Assembly in 2002 and became a Minister in the Mulayam Singh Yadav ministry in 2003. She was the daughter in law of late member of parliament Parmai Lal, who is famous for winning his first election in 1962 while he was in prison.

"
Verma  Kumari Vimla,Kumari Vimla Verma,Indian National Congress,Kumari Vimla Verma Indian National Congress,"Kumari Vimla Verma popularly known as ""BUA JI"" (बुआजी) sister of father born 1 July 1929) was a political and social worker and a Member of Parliament elected from the Seoni constituency in the Indian state of Madhya Pradesh being an Indian National Congress candidate."
Verma  Shri Virendra,Virendra Verma,Bharatiya Janata Party,Virendra Verma Bharatiya Janata Party,"Virendra Verma (18 September 1916 – 2 May 2009) was an Indian politician, born in Shamli, Uttar Pradesh. He served as the Governor of Punjab and the Administrator of Chandigarh (1990) as well as the Governor of Himachal Pradesh (1990–1993).

"
Verma Shri Ram Shiromani ,Ram Shiromani Verma,Bahujan Samaj Party,Ram Shiromani Verma Bahujan Samaj Party,"Ram Shiromani Verma is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Shrawasti (Lok Sabha constituency), Uttar Pradesh in the 2019 Indian general election as member of the Bahujan Samaj Party."
Vetriselvan  Shri V.,V. Vetriselvan,Dravida Munnetra Kazhagam,V. Vetriselvan Dravida Munnetra Kazhagam,"Johnny is a 2018 Indian Tamil-language action thriller film directed by Vetriselvan and produced by Thiagarajan. The film stars Prashanth and Sanchita Shetty, with Prabhu, Anandaraj, Ashutosh Rana, Aathma Patrick, and Sayaji Shinde amongst others in supporting roles. Johnny got mixed reviews by film critics and audience. The film is a remake of 2007 Hindi film Johnny Gaddaar which itself was an uncredited adaptation of the 1963 French film Symphonie Pour Un Massacre (The Corrupt) by Jacques Deray which in turn was based on the 1962 French crime novel Les Mystifies by Alain Reynaud Fourton."
Vichare  Shri Rajan Baburao,Rajan Baburao Vichare,Shiv Sena,Rajan Baburao Vichare Shiv Sena,"Rajan Vichare (born 1 August 1961) is an Indian politician and a Shiv Sena member of parliament representing Thane, Maharashtra in the 17th Lok Sabha (lower house of the Indian Parliament). He has also previously been a member of the Maharashtra Legislative Assembly in 2009-14.

"
Vidyalankar  Shri Amar Nath,Amar Nath Vidyalankar,Congress,Amar Nath Vidyalankar Congress,"Shrichand Goyal (also known as Chand Goyal) was an Indian politician, who was the first Member of Parliament to be elected from Chandigarh Parliamentary Constituency in 1967. A member of the Bharatiya Jana Sangh (BJS), he was a parliamentarian from March 1967 to December 1970."
Vidyarthi  Shri R.S.,R.S. Vidyarthi,Jan Sangh,R.S. Vidyarthi Jan Sangh,"Ashish Vidyarthi (born 19 June 1962) is an Indian actor who predominantly works in Hindi, Telugu, Tamil, Kannada, Malayalam, and Bengali films. He is noted for his antagonist and character roles. In 1995, he received the National Film Award for Best Supporting Actor for Drohkaal.

"
Vijay  Shri Vijay Kumar,Vijay Kumar Vijay,Rashtriya Janata Dal,Vijay Kumar Vijay Rashtriya Janata Dal,"Joseph Vijay Chandrasekhar (born 22 June 1974), known professionally as Vijay, is an Indian actor, dancer, playback singer and philanthropist who works predominantly in Tamil cinema and also appeared in other Indian languages films. He is one of the highest paid actors in India. He has significant fan following globally and has acted in 65 films as a lead actor. He has won numerous awards, including eight Vijay Awards by Star India, three Tamil Nadu State Film Awards by Government of Tamil Nadu, and a SIIMA Award. He has been included several times in the Forbes India Celebrity 100 list, based on the earnings of Indian celebrities. Pan-Indian demand for his films, made him a sought-after actor in Hindi cinema.At 10 years old, Vijay's first role was in the drama Vetri (1984); he performed as a child actor in films until Ithu Engal Neethi (1988), directed by his father S. A. Chandrasekhar, and then featured as the lead for the first time in Naalaiya Theerpu (1992). He rose to prominence in the 90s as a romantic hero performing in many romance silver jubilee films. His first blockbuster came in 1996 with Poove Unakkaga. He played anti-hero roles as an hyper-possessive lover in Priyamudan (1998), followed by a play-boy in Azhagiya Tamil Magan (2007). The success of his masala film Thirumalai (2003) changed his on-screen persona to that of an action hero. He appeared as a kabaddi player in Ghilli (2004), which went on to become the first Tamil film to earn ₹500 million (Indian rupees). He continued to achieve success during the 2000s with cult films including Thirupaachi (2005), Sachein (2005), Sivakasi (2005), Pokkiri (2007) and Vettaikaaran (2009). In the 2010s and 20s, Vijay achieved further success with critics acclaimed blockbusters including Kaavalan (2011), Nanban (2012), Thuppakki (2012), Kaththi (2014), Mersal (2017) and Sarkar (2018). While Vijay's earlier films were primarily action and masala based, his later films transitioned into the thriller genre and discussion of reform concerning social, environmental and political issues in India.Vijay is among the most popular celebrities in India. He was appointed the brand ambassador for several endorsements, notably the American Embassy for 'V go Green' global awareness campaign movement, and the Indian Premier League cricket team Chennai Super Kings. Vijay's popularity has been recorded by both Google and Twitter as the most-searched-and-tweeted actor several times. He received an honorary doctorate from the Dr. M.G.R. Educational and Research Institute in 2007 for his contributions to social welfare and in honour of his achievements in the film industry. International Business Times framed him as the ""consistent box office performer"".

"
Vijay Krishna  Shri,Vijay Krishna,Rashtriya Janata Dal,Vijay Krishna Rashtriya Janata Dal,"Vijay Krishna Acharya is an Indian film director, screenwriter, dialogue writer known for his works in Hindi films and television shows.

"
Vijaya Ananda  Lt.Col. Dr.,Lt.Col. Dr. Vijaya Ananda,Congress,Lt.Col. Dr. Vijaya Ananda Congress,#N/A
